time,in_play,reset,audio_rms,hf_ratio,flow
2140.2,False,False,0.46071813,0.098736696,0.24181736023719402
2140.3,False,False,0.4009851,0.0832039,0.17721184961443123
2140.4,False,False,0.354733,0.04109566,0.1587608140594226
2140.5,False,False,0.31932238,0.0,0.18228252384606924
2140.6,False,False,0.34724933,0.0,0.17623315217145644
2140.7,False,False,0.33176148,0.17444153,0.10264065739343932
2140.8,False,False,0.30820638,0.16376032,0.17725509961392144
2140.9,False,False,0.29368708,0.0095172,0.24379844965480946
2141.0,False,False,0.27495238,0.03617855,0.26752708077298015
2141.1,False,False,0.2531539,0.0,0.19007066334024222
2141.2,False,False,0.25371528,0.0,0.13059675476143984
2141.3,False,False,0.24077223,0.0,0.18632094910088856
2141.4,False,False,0.22446811,0.76080847,0.20466654518714292
2141.5,False,False,0.21109606,0.0,0.28715082695983296
2141.6,False,False,0.20204316,0.0,0.28184237740734797
2141.7,False,False,0.20816201,0.0073087146,0.44284079686431443
2141.8,False,False,0.22245689,0.014319041,0.5460540511191676
2141.9,False,False,0.20133199,0.009649927,0.8351355994214507
2142.0,False,False,0.2386424,0.005629838,1.2196238628060758
2142.1,False,False,0.2536235,0.20700265,1.555958561041718
2142.2,False,False,0.21852031,0.34610492,2.152269391127453
2142.3,False,False,0.22741342,0.038134962,2.4815653648754408
2142.4,False,False,0.18153821,0.108971015,2.8609457818728536
2142.5,False,False,0.122413345,0.066366,3.098345441699456
2142.6,True,False,0.1733177,0.121369354,3.2934082115863785
2142.7,True,False,0.20427836,0.021601636,3.382580895832994
2142.8,True,False,0.17721362,0.0,3.294680782450627
2142.9,False,False,0.1805253,0.0,2.90547171500531
2143.0,False,False,0.12631887,0.0022186798,2.51679782911576
2143.1,False,False,0.083853684,0.42787868,2.4264114657219764
2143.2,False,False,0.082671165,0.2969966,2.1075126599546596
2143.3,False,False,0.07598994,0.39598277,1.6355725452386825
2143.4,False,False,0.1238004,0.19395898,1.329746255119658
2143.5,False,False,0.1553634,0.25780347,0.9777434542016195
2143.6,False,False,0.21591932,0.0,0.7549558773937723
2143.7,False,False,0.26019892,0.003805457,0.6380598970932695
2143.8,False,False,0.22679967,0.0,0.4703674447049516
2143.9,False,False,0.20701492,0.009955889,0.2895212866414129
2144.0,False,False,0.16802269,0.046545412,0.343220584843637
2144.1,False,False,0.12177462,0.06277181,0.363538358085642
2144.2,False,False,0.118479535,0.17643239,0.1947916573018892
2144.3,False,False,0.08768411,0.120211534,0.20675886803571092
2144.4,False,False,0.056091778,0.5966598,0.34130582113176233
2144.5,False,False,0.03812382,0.02294197,0.2603380786132688
2144.6,False,False,0.029088965,1.0,0.252830092556806
2144.7,False,False,0.028005466,0.07008499,0.42661636727222285
2144.8,False,False,0.008988841,0.108638234,0.3686961003967855
2144.9,False,False,0.0031300401,0.0844008,0.4133123049077639
2145.0,False,False,0.0,0.072307624,0.4680975535014873
2145.1,False,False,0.0,0.046633594,0.39018625408420127
2145.2,False,False,0.009878093,0.0,0.35686782401745865
2145.3,False,False,0.020491626,0.040037032,0.3847772550907814
2145.4,False,False,0.021825043,0.031625133,0.5238166843110795
2145.5,False,False,0.01850922,0.0023164814,0.508041152845326
2145.6,False,False,0.019111006,0.0,0.49494257364757743
2145.7,False,False,0.012543083,0.10642132,0.5656704880134461
2145.8,False,False,0.027048465,0.120845914,0.38815149019475487
2145.9,False,False,0.033346314,0.010535502,0.40145578290731904
2146.0,False,False,0.021635113,0.014287985,0.3870540301309546
2146.1,False,False,0.018781988,0.010352669,0.23967729671725996
2146.2,False,False,0.0014676536,0.0,0.23935117437077327
2146.3,False,False,0.0,0.02869636,0.25126599273202094
2146.4,False,False,0.0,0.10196632,0.21844575387579024
2146.5,False,False,0.0,0.01667764,0.22210493532349304
2146.6,False,False,0.0021362419,0.22032206,0.1724376803945915
2146.7,False,False,0.011896618,0.14868462,0.21143611224417397
2146.8,False,False,0.003063601,1.0,0.18914424820265502
2146.9,False,False,0.007221448,0.16217332,0.25070026637718373
2147.0,False,False,0.0,0.119022414,0.2144144392870641
2147.1,False,False,0.0,0.006064246,0.17002989709178776
2147.2,False,False,0.0,0.08067615,0.18603720495072
2147.3,False,False,0.0,0.047009137,0.12700237166080586
2147.4,False,False,0.0,0.17907374,0.15669922134083578
2147.5,False,False,0.005536769,0.06017627,0.2007892040233833
2147.6,False,False,0.012762849,0.024696078,0.18392128160548987
2147.7,False,False,0.011412477,0.14892937,0.23878163943342579
2147.8,False,False,0.019654866,0.039289888,0.23803103572685141
2147.9,False,False,0.034183364,0.039579805,0.26708129168694555
2148.0,False,False,0.048441958,0.26374516,0.2551490821160627
2148.1,False,False,0.080960386,0.12040103,0.1960894940248278
2148.2,False,False,0.10337143,0.66201484,0.13053498837129288
2148.3,False,False,0.10509404,0.14993569,0.24908586105209363
2148.4,False,False,0.11912622,0.029547852,0.21826441498500251
2148.5,False,False,0.1341312,0.030559095,0.23388379057220499
2148.6,False,False,0.13688962,0.14058964,0.2709350299135914
2148.7,False,False,0.15616286,0.0,0.2402800874658354
2148.8,False,False,0.20720543,0.031990424,0.1968236892246655
2148.9,False,False,0.20311001,1.0,0.27186659428571575
2149.0,False,False,0.21318054,0.041430168,0.35050171791351653
2149.1,False,False,0.21273834,0.36982173,0.2705071200934815
2149.2,False,False,0.19887474,0.035099674,0.24816488736469436
2149.3,False,False,0.23933259,0.0014306642,0.3202350079971677
2149.4,False,False,0.24302447,0.3075793,0.213950287630361
2149.5,False,False,0.23244107,0.22215556,0.2061862666991874
2149.6,False,False,0.19693042,0.27946535,0.22216811186209748
2149.7,False,False,0.18676418,0.15586087,0.26754158463884864
2149.8,False,False,0.24090564,0.13946088,0.2066528587851967
2149.9,False,False,0.36766896,0.075434126,0.249514853549485
