ClipID,MatchKey,AtomicPath,PortraitPaths,DurationSeconds,Width,Height
002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-20__TSC_vs_Greenwood,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-20__TSC_vs_RVFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t25260.00-t26940.00,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t25260.00-t26940.00.mp4,,,,
