"index","date","status","atomic","master","action"
"23","2025-09-20","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\023__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t78960.00-t79740.00.mp4",,
"133","2025-09-20","MISSING_MASTER",".\out\atomic_clips\133__TSC_vs_Greenwood__DRIBBLING_SHOT__2025-09-20__t739-752.mp4",,"none"
"88","2025-09-20","MISSING_MASTER",".\out\atomic_clips\088__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"196","2025-09-20","MISSING_MASTER",".\out\atomic_clips\196__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t1951-1962.mp4",,"none"
"34","2025-09-20","MISSING_MASTER",".\out\atomic_clips\034__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"80","2025-09-20","MISSING_MASTER",".\out\atomic_clips\080__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"6","2025-09-13","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\2025-10-12__TSC_SLSG_FallFestival\006__GOAL__t2.035.00-t2.054.00.mp4",,
"178","2025-09-20","MISSING_MASTER",".\out\atomic_clips\178__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t1369-1383.mp4",,"none"
"123","2025-09-20","MISSING_MASTER",".\out\atomic_clips\123__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__2025-09-20__t444-456.mp4",,"none"
"15","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4",,
"78","2025-09-20","MISSING_MASTER",".\out\atomic_clips\078__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"108","2025-09-20","MISSING_MASTER",".\out\atomic_clips\108__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"130","2025-09-20","MISSING_MASTER",".\out\atomic_clips\130__TSC_vs_RVFC__SHOT__2025-09-20__t517-528.mp4",,"none"
"51","2025-09-13","MISSING_MASTER",".\out\atomic_clips\051__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-13__t1705-1721.mp4",,"none"
"76","2025-09-20","MISSING_MASTER",".\out\atomic_clips\076__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"12","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t74340.00-t75180.00.mp4",,
"25","2025-09-20","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\025__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2203200.00-t2232000.00.mp4",,
